Name,URL,Language,Resource Type,Tags,State,Note 2 ,Year,Note,Organisation
Livelihood Opportunities in Broiler Farming,https://drive.google.com/file/d/0ByE9Mc41r3OrSjBqRVFNVHBjclk/view?usp=sharing,English,,,,A resource book for practitioners to develop understanding on various dimensions of broiler poultry promotion with rural poor,,,Pradan
Living Waters - Promoting Community Managed Micro Lift Irrigation Among the Poor,https://drive.google.com/file/d/0ByE9Mc41r3Ora2N4dVFKYmhvMW8/view?usp=sharing,English,,,,A handbook for practitioners  on Promoting Community managed micro Lift irrigation among the rural poor,,,Pradan
Living Waters - Promoting Community Managed Micro Lift Irrigation Among the Poor,https://drive.google.com/file/d/0ByE9Mc41r3Ora2N4dVFKYmhvMW8/view?usp=sharing,English,Handbook/Resource Book,,,,2005,Regenerative Agriculture,PRADAN
Mango Market Overview and Opportunities,https://drive.google.com/file/d/0ByE9Mc41r3OrUnJBVVRhd0tVbG8/view?usp=sharing,English,,,,Study on Scope of Mango market overview and opportunities for small holders,,,Pradan
Mango Market Overview and Opportunities,https://drive.google.com/file/d/0ByE9Mc41r3OrUnJBVVRhd0tVbG8/view?usp=sharing,English,Study/Report ,,,,2011,Regenerative Agriculture,PRADAN
Manual on Seed Production and Certification ,https://drive.google.com/file/d/1KK3HcGpJSVT9zm7NOgIz4wSYjlztmmcV/view?usp=sharing,English,Booklet ,,,,,Yes,CIKS
MEGP Niti Ayog Framework for Millets ,https://drive.google.com/file/d/17GwH1h_h6jRZixZLMTW-DyEMZdjLEGlT/view?usp=drivesdk,English,,,,,,Yes,GOI
Million Litres Club,https://drive.google.com/file/d/1iiEvhs1nob0XmPBF03Y6cTDsdDOJUwa8/view?usp=drive_link,English,,,,Urban,,,Reap Benefit
Minutes of the Meeting - Millets for Millions,https://drive.google.com/file/d/11iyzVyZUUDdhkQOEzVETYYi8k0586TjC/view?usp=sharing,English,,,,,,,Wassan
"NATIONAL LIVELIHOOD RESOURCE CENTER, KESLA POULTRY SAHKARI MARYADIT - AN IMPACT ASSESSMENT STUDY ON OWNER MEMBERS",https://drive.google.com/file/d/0ByE9Mc41r3OrUVlpdzFWdzNmVlk/view?usp=sharing,English,,,,Impact assessment Study on the life of poultry rearers of Kesla Poultry Society,,,Pradan
"NATIONAL LIVELIHOOD RESOURCE CENTER, KESLA POULTRY SAHKARI MARYADIT - AN IMPACT ASSESSMENT STUDY ON OWNER MEMBERS",https://drive.google.com/file/d/0ByE9Mc41r3OrUVlpdzFWdzNmVlk/view?usp=sharing,English,Impact Evaluation for Ongoing/Past Projects,,Madhya Pradesh,,2011,Livestock and Poultry,PRADAN
"Natural Farming through a Wide Angle Lens: True Cost Accounting of Community-Managed Natural Farming in Andhra Pradesh, India",https://drive.google.com/file/d/1MLLZvKBZY4uL4Pjfcc8r6pHWOryKLpNn/view?usp=drivesdk,English,Book,,,Evidence for natural farming from APCNF. Gaps and insights. ,,Yes,APCNF
Neighbourhood Challenges Map,https://drive.google.com/file/d/1PWCk-mNzkgNDGrxJpWeSMiXGRQwW6XZb/view?usp=drive_link,English,,,,Urban,,,Reap Benefit
Neighbourhood Journalist ,https://drive.google.com/file/d/1pub0p_KPcxpGFFxYGjcwNgrtdPJVbsrb/view?usp=drive_link,English,,,,Urban,,,Reap Benefit
NREGA - Beyond Wages To Sustainable Livelihoods,https://drive.google.com/file/d/0ByE9Mc41r3OrQURpY0k1eHdiV3c/view?usp=sharing,English,Study/Report ,,,,2008,Regenerative Agriculture,PRADAN
NREGA - Beyond Wages To Sustainable Livelihoods,https://drive.google.com/file/d/0ByE9Mc41r3OrQURpY0k1eHdiV3c/view?usp=sharing,English,,,,Report of the workshop on Scope of livelihood based asset creation through MGNREGA. The workshop was organised by PRADAN ,,,Pradan
NRLM Advisory on Agri- Nutrition garden ,https://drive.google.com/file/d/11SJff1Y1zfwn3vRi3L0atbyHNf3XzamX/view?usp=sharing,English,,,,"The document is an advisory to SRLMs, outlining the contents of Agri-nutri garden. The advisory is also a reference document for rolling out Kitchen garden in the respective SRLMs",,,NRLM
Nutrient Deficiencies in Tribal Community - Odisha Economic Discussion Series 8,https://drive.google.com/file/d/1sQBCKlDBEesZa162BOygtaWOxMA1UIco/view?usp=sharing,English,,,,"The paper proposes to estimate nutrient-specific intake in a tribal community and whether their intake meets the requirement, to analyse the relationship between the numbers of nutrient deficiencies with the number of food groups consumed, and to examine the nutritional status of pregnant and lactating mothers",,,"Nabakrushna Choudhury Centre for Development Studies, Bhubaneswar"
Nutrition Garden - Best Practices,https://drive.google.com/file/d/1vV1kR63BomAdtaLz55NRSFlpDmNj2-D0/view?usp=sharing,English,Document,"nutrition, gardening, vegetable garden, organic farming, agriculture, Regenerative Agriculture",,,,Yes,"WHH, NCNF"
Nutrition Sensitive Integrated Farming ,https://drive.google.com/file/d/1mLHf1eJP4cQ0Yw7W0-KSEnidg20-W2k8/view?usp=sharing,English,Flipbook,"gardening, vegetable garden, nutrition, Natural Farming, organic farming, Regen Agriculture",,,,,WHH
Odisha Millet Millsion - About,https://drive.google.com/file/d/16SKIPJae_MjlKrBYKTBc5PLwXxy-2Xka/view?usp=sharing,English,,,,,,,Wassan
On Farm conservation of Indigenous seeds,https://drive.google.com/file/d/1oE09zH7a4ibx9MN2_9M3jOnUlw6Okae9/view?usp=sharing,English,Booklet ,,,,,Yes,CIKS
